Week,Matchup,Team,,
9,1,Karachi Kings,,
9,1,Backfields and McCoys,,
9,2,Team 4 - Chai,,
9,2,Subbaiah,,
9,3,Cam's Cooking,,
9,3,Myles away from the Chip,,
9,4,Team Gottam,,
9,4,Magic Gronk Shell,,
9,5,Jensen,,
9,5,Dumpster Fire,,
10,6,Karachi Kings,,
10,6,Subbaiah,,
10,7,Team 4 - Chai,,
10,7,Jensen,,
10,8,Cam's Cooking,,
10,8,Dumpster Fire,,
10,9,Team Gottam,,
10,9,Backfields and McCoys,,
10,10,Myles away from the Chip,,
10,10,Magic Gronk Shell,,
11,11,Karachi Kings,,
11,11,Jensen,,
11,12,Backfields and McCoys,,
11,12,Myles away from the Chip,,
11,13,Cam's Cooking,,
11,13,Team 4 - Chai,,
11,14,Magic Gronk Shell,,
11,14,Dumpster Fire,,
11,15,Subbaiah,,
11,15,Team Gottam,,
