wins,waiver_position,waiver_budget_used,total_moves,ties,ppts_decimal,ppts,losses,fpts_decimal,fpts_against_decimal,fpts_against,fpts,user_id,name
6,9,0,0,0,100,1497,4,54,60,1230,1283,307654863477538816,msubbaiah
5,4,0,0,0,18,1378,5,10,88,1235,1280,307663062192619520,dhaksubb
2,5,0,0,0,62,1244,8,66,14,1338,1181,307664367791390720,bhargavesh
8,3,0,0,0,92,1469,2,2,28,1130,1289,307942185758621696,rbachal
6,7,0,0,0,98,1494,4,58,40,1262,1316,307946516406890496,GADI
6,1,0,0,0,30,1361,4,80,8,1094,1228,309778749241454592,SAADMONIUSREX
5,6,0,0,0,30,1438,5,66,64,1162,1277,332232044425797632,mmj762
5,10,0,0,0,22,1318,5,10,64,1288,1214,309848813416226816,ssudhish10
2,2,0,0,0,20,1374,8,40,80,1439,1234,310592766369361920,cvalluru
5,8,0,0,0,68,1322,5,90,30,1337,1213,330450822485774336,2Blackmamba4
