,Subh,Must,Dhak,Chai,Bach,Saad,Bharg,Gadi,Suds,Mey
0-11,0.0004079107300792887,1.8029042914622967e-06,2.596925987478614e-05,3.26105823537068e-06,2.671807192487551e-06,6.853992755859536e-08,7.057663514323467e-06,2.1775014743873544e-07,0.0001568283530654408,2.1794961682258317e-05
1-10,0.004078470654714759,8.193215726275694e-05,0.00047797922782224914,9.298827344513748e-05,5.7720330192909395e-05,7.722642715001913e-06,0.00020214946694758665,1.1683636083929635e-05,0.0018063196667624842,0.0004021837735110466
2-9,0.0256488393027821,0.0018160186650912182,0.005200835330333254,0.0014997867944728752,0.0007894553798100472,0.0003660599202274106,0.0031114195342113455,0.00032629054218851215,0.013257708113630046,0.004434892322061721
3-8,0.09606676551673907,0.019530450963241432,0.0325354222164924,0.013462168062173905,0.006659294457884085,0.0073303681176228475,0.02536667457278928,0.004716108724017053,0.05906895635954759,0.02841010334942745
4-7,0.21460941774287712,0.10245318020615829,0.11727363020265216,0.06743380833448034,0.03469674547149073,0.06256274071900772,0.10992504896539997,0.035420120023032596,0.15998577562006275,0.10594662169599078
5-6,0.28623112197985956,0.26335896444531887,0.2439817206405443,0.1889527211415814,0.11181327640023217,0.22953253653038608,0.25392810464735394,0.13875074130928294,0.2636857973334206,0.23038241304707502
6-5,0.2280005561898577,0.33273132745832346,0.2932901271740727,0.2966808066930193,0.22310165940409654,0.36436331290949925,0.3132634221856235,0.28434754070257934,0.2646161339986962,0.29243349051462353
7-4,0.10843773030917736,0.20678112692188133,0.2037717670257566,0.26123903838100493,0.27580959301244995,0.25091119494404657,0.2064934753264034,0.3053939742099537,0.16168578894139707,0.2167557839049271
8-3,0.03076499906028729,0.0631103348164701,0.08178154135323423,0.128972865576776,0.21130320797006918,0.07479627290684998,0.07265787498967391,0.1719285559755117,0.060119542694192396,0.09377605714123682
9-1,0.005199384139700336,0.009424959113545572,0.01893474037146914,0.035656083552215945,0.10029432870034727,0.0095926244007416,0.013616560098212105,0.050662630367844574,0.013589341204652272,0.023653236026044966
10-1,0.0005225160847959209,0.0006853524701929681,0.002524240478510964,0.005508760626854792,0.029471814385820916,0.0005248379173035111,0.0013548808029339998,0.007792416244302491,0.001864694659354016,0.003472316693243216
11-0,1.1241957024177296e-06,4.129441449896021e-07,8.701769164787265e-06,2.331855539550176e-05,0.0006444808058595486,1.1831047830312968e-07,2.0082853098291054e-06,2.6387137352812395e-05,8.043241585098393e-06,1.5052269899729076e-05
